,Means,Max,Min,Median,STD,P99,P90,P80,P70,P60,P50,P40,P30,P20,P10,P1,Prob of Zero,Prob >= Mean,,,
Ore _MetricTons,1765708017,43141275356,0,461154267.1,3467081060,0,0,0,16014489.67,202638262.7,461154267.1,856867060.6,1459819587,2556783155,4856085730,18133429197,0.2982,0.26325,,,
Cu _MetricTons,7609219.381,319784201.8,0,1892065.507,15834691.27,0,0,0,52618.05234,799883.9586,1892065.507,3455919.417,6019940.89,10641428.35,20739391.04,78674585,0.2982,0.25815,,Map Mark GUI Run,
Mo _MetricTons,239160.1665,14420593.38,0,41253.62537,631706.0666,0,0,0,642.527202,15858.68367,41253.62537,83729.14588,150763.0219,278384.3021,601177.6238,3041112.06,0.2982,0.2241,,,
Au _MetricTons,335.4850309,37376.08796,0,35.08907585,1164.240532,0,0,0,0.337392729,12.56244282,35.08907585,76.57416555,153.8514809,318.3642748,781.7356655,4664.522653,0.2982,0.1939,,,
Ag _MetricTons,4042.966659,232240.0697,0,756.3616834,10537.87084,0,0,0,15.08047135,298.8466536,756.3616834,1471.246872,2671.562301,4929.693077,10408.91591,47640.88192,0.2982,0.2323,,,
