"","Means","Max","Min","Median","STD","P99","P90","P80","P70","P60","P50","P40","P30","P20","P10","P1"
"Ore _MetricTons",1590154914.8422,30698654261.1455,9643954.66380228,592155611.703911,2947192030.21057,20966910.0842766,86892155.0586628,168165416.100352,268613104.845764,403049755.642914,592155611.703911,865949326.643548,1293346170.63601,2078197461.85569,3918011306.852,15723122378.3739
"Cu _pct",0.432552960562071,0.881996653408103,0.121453896898833,0.410217746421143,0.151354574958498,0.174593286001956,0.25524994491835,0.299731115630142,0.336790058334098,0.372501863351124,0.410217746421143,0.45098117208748,0.497907074569469,0.557542754992331,0.64982137164896,0.836932699416154
"Mo _pct",0.0133669214974976,0.0629040692758763,0.00100111775049613,0.00963384171399168,0.0115974284868909,0.00134164664411194,0.00301450489252026,0.00449654157791882,0.00600619938007525,0.00763311745339711,0.00963384171399168,0.012053010241108,0.0152187711928314,0.020326518008786,0.0293276508878377,0.054927233109365
"Au _pct",1.88413192621511e-05,0.000199827025827347,1.13417955881515e-07,8.99883937892829e-06,2.69971007236569e-05,3.93589864135181e-07,1.58529975826428e-06,2.87170946102311e-06,4.40812731123865e-06,6.3797978508848e-06,8.99883937892829e-06,1.25096720635132e-05,1.78674029471153e-05,2.70367952481549e-05,4.73765180726984e-05,0.000143911276822207
"Ag _pct",0.000228463864034938,0.00198521273819298,1.30128155570684e-05,0.000171414579332193,0.000197377435097949,2.99458271380593e-05,6.48289150299639e-05,9.05710502612736e-05,0.000114841013557657,0.000142018475119224,0.000171414579332193,0.00020751112566857,0.000254346620246301,0.000326214018032541,0.000456962891102156,0.00100507076749178
