"","Means","Max","Min","Median","STD","P99","P90","P80","P70","P60","P50","P40","P30","P20","P10","P1"
"Ore _MetricTons",1765747920.57851,3.0811e+10,9607000,722446000,3988495205.19682,15304000,86900000,2e+08,272305000,4.09e+08,722446000,876500000,1.42e+09,1989688000,3.23e+09,21167800000
"Cu _pct",0.440785123966942,0.882,0.12,0.421,0.151287155580129,0.1456,0.26,0.33,0.36,0.39,0.421,0.473,0.5,0.56,0.63,0.85
"Mo _pct",0.0143223140495868,0.063,0.001,0.01,0.0134252342475113,0.001,0.003,0.005,0.007,0.008,0.01,0.012,0.015,0.02,0.033,0.0596
"Au _pct",1.82327272727273e-05,2e-04,1.1e-07,1.12e-05,2.39859874023703e-05,1.8e-07,1.5e-06,2.8e-06,4.4e-06,7.9e-06,1.12e-05,1.6e-05,2.32e-05,3e-05,3.8e-05,8.89999999999999e-05
"Ag _pct",0.000239404958677686,0.002,1.3e-05,0.00017,0.00024221224021205,3.42e-05,7e-05,9.9e-05,0.0001265,0.00015,0.00017,2e-04,0.00025,0.0003037,5e-04,0.0009824
